neighbors,auc
1,0.607831999
2,0.643317766
3,0.667296353
4,0.684557758
5,0.706343881
6,0.709464036
7,0.714442115
8,0.726106557
9,0.733089656
10,0.733558902
11,0.731528784
12,0.726502097
13,0.726194561
14,0.728736498
15,0.727502224
16,0.725175372
17,0.726602173
18,0.733082031
19,0.729185411
20,0.73080887
21,0.731875715
22,0.735527068
23,0.739572373
24,0.739907866
25,0.737805947
26,0.737898716
