dims,auc
1,0.57129972
2,0.607962575
3,0.739907866
4,0.726795018
5,0.720024781
6,0.718733003
7,0.723491231
8,0.723824819
9,0.722169907
10,0.722551785
11,0.722551785
12,0.722551785
