trees,auc
6,0.731731478
11,0.736462702
16,0.742280468
21,0.747757021
26,0.75110624
31,0.752616597
36,0.755902275
41,0.755348837
46,0.75673402
51,0.758581141
56,0.758757784
61,0.759943449
66,0.760627144
71,0.762671877
76,0.762016139
81,0.761408692
86,0.760598551
91,0.761204092
96,0.759684204
101,0.760602364
106,0.762206125
111,0.761896683
116,0.761131656
121,0.762115262
126,0.761504003
